ID,label
Corn_Blight (1).jpg,Blight
Corn_Blight (100).jpg,Blight
Corn_Blight (1000).JPG,Blight
Corn_Blight (1001).JPG,Blight
Corn_Blight (1004).JPG,Blight
Corn_Blight (1005).JPG,Blight
Corn_Blight (1006).JPG,Blight
Corn_Blight (1007).JPG,Blight
Corn_Blight (1008).JPG,Blight
Corn_Blight (101).jpg,Blight
Corn_Blight (1011).jpg,Blight
Corn_Blight (1012).JPG,Blight
Corn_Blight (1013).JPG,Blight
Corn_Blight (1015).jpg,Blight
Corn_Blight (1017).JPG,Blight
Corn_Blight (1019).JPG,Blight
Corn_Blight (102).jpg,Blight
Corn_Blight (1020).JPG,Blight
Corn_Blight (1021).JPG,Blight
Corn_Blight (1022).JPG,Blight
Corn_Blight (1023).JPG,Blight
Corn_Blight (1024).JPG,Blight
Corn_Blight (1025).JPG,Blight
Corn_Blight (1027).JPG,Blight
Corn_Blight (1028).JPG,Blight
Corn_Blight (1029).JPG,Blight
Corn_Blight (103).jpg,Blight
Corn_Blight (1030).jpg,Blight
Corn_Blight (1031).JPG,Blight
Corn_Blight (1032).JPG,Blight
Corn_Blight (1034).JPG,Blight
Corn_Blight (1035).JPG,Blight
Corn_Blight (1036).jpg,Blight
Corn_Blight (1037).JPG,Blight
Corn_Blight (1038).jpg,Blight
Corn_Blight (1039).jpg,Blight
Corn_Blight (104).jpg,Blight
Corn_Blight (1040).jpg,Blight
Corn_Blight (1041).JPG,Blight
Corn_Blight (1042).jpg,Blight
Corn_Blight (1044).JPG,Blight
Corn_Blight (1045).JPG,Blight
Corn_Blight (1048).JPG,Blight
Corn_Blight (1049).JPG,Blight
Corn_Blight (1054).jpg,Blight
Corn_Blight (1055).JPG,Blight
Corn_Blight (1057).JPG,Blight
Corn_Blight (1058).jpg,Blight
Corn_Blight (1059).JPG,Blight
Corn_Blight (1061).JPG,Blight
Corn_Blight (1063).JPG,Blight
Corn_Blight (1064).JPG,Blight
Corn_Blight (1065).JPG,Blight
Corn_Blight (1066).JPG,Blight
Corn_Blight (1068).JPG,Blight
Corn_Blight (1069).JPG,Blight
Corn_Blight (1070).JPG,Blight
Corn_Blight (1073).jpg,Blight
Corn_Blight (1074).JPG,Blight
Corn_Blight (1075).JPG,Blight
Corn_Blight (1078).JPG,Blight
Corn_Blight (1079).JPG,Blight
Corn_Blight (108).jpg,Blight
Corn_Blight (1080).JPG,Blight
Corn_Blight (1082).jpg,Blight
Corn_Blight (1085).JPG,Blight
Corn_Blight (1086).JPG,Blight
Corn_Blight (1089).JPG,Blight
Corn_Blight (109).jpg,Blight
Corn_Blight (1090).JPG,Blight
Corn_Blight (1091).JPG,Blight
Corn_Blight (1092).jpg,Blight
Corn_Blight (1093).JPG,Blight
Corn_Blight (1094).JPG,Blight
Corn_Blight (1095).JPG,Blight
Corn_Blight (1096).jpg,Blight
Corn_Blight (1097).jpg,Blight
Corn_Blight (1099).jpg,Blight
Corn_Blight (11).jpg,Blight
Corn_Blight (1100).jpg,Blight
Corn_Blight (1101).jpg,Blight
Corn_Blight (1102).jpg,Blight
Corn_Blight (1103).jpg,Blight
